Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.00826967589747E-17,0.10737313904722,-0.00731313094674181,0,0,0,86.0247767757526,4.79133565745257,-1.75382804254197E-17,-2.58072698137582E-16,6.06328850574316,-0.0726713739637632,2.20371898087264,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,chasis1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_steering_block,0,0.0056220532371112,0,0,0,0,0.181941366846315,0.000259566561927885,7.58556873903355E-21,-5.0821976835258E-21,6.45024417920556E-05,-5.9209588369032E-20,0.000254191493247134,0,0,0,0,0,0,package://robot/meshes/front_left_steering_block.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/front_left_steering_block.STL,,steering_block-2,Origin_front_left_steering_block_joint,Axis_front_left_steering_block_joint,front_left_steering_block_joint,revolute,0.13,-0.45,0,1.5708,0,-0.061939,base_link,0,1,0,0,0,0,0,,,,,,,,
front_left_wheel,-0.184605263157895,1.42247325030098E-16,1.11022302462516E-16,0,0,0,1.43256625003695,0.00517267157404377,9.01666572352203E-19,8.67361737988404E-19,0.00621135341120643,3.3881317890172E-20,0.00621135341120643,0,0,0,0,0,0,package://robot/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/front_left_wheel.STL,,front_wheel-4,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,revolute,0,-0.025,0,3.1278,0,3.1416,front_left_steering_block,1,0,0,0,0,0,0,,,,,,,,
front_right_steering_block,-2.77555756156289E-17,0.00562205323711119,0,0,0,0,0.181941366846315,0.000259566561927885,-5.20932311851603E-20,-5.08784456984083E-21,6.45024417920556E-05,-1.12309171155158E-20,0.000254191493247134,0,0,0,0,0,0,package://robot/meshes/front_right_steering_block.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/front_right_steering_block.STL,,steering_block-1,Origin_front_right_steering_block_joint,Axis_front_right_steering_block_joint,front_right_steering_block_joint,revolute,-0.13,-0.45,0,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
front_right_wheel,-0.184605263157895,0,0,0,0,0,1.43256625003695,0.00517267157404376,0,-1.78909698551451E-21,0.00621135341120644,4.57717685043609E-35,0.00621135341120644,0,0,0,0,0,0,package://robot/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/front_right_wheel.STL,,front_wheel-1,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,revolute,0,-0.025,0,0,0,0,front_right_steering_block,1,0,0,0,0,0,0,,,,,,,,
rear_axle,0,3.46944695195361E-17,0,0,0,0,0.539568538254047,6.40001328398496E-05,3.44295563992704E-36,7.59240148123743E-20,0.0260693039948772,9.8148481904399E-38,0.0260693039948772,0,0,0,0,0,0,package://robot/meshes/rear_axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/rear_axle.STL,,rear_axle-1,Origin_rear_axle_joint,Axis_rear_axle_joint,rear_axle_joint,revolute,0,0.45,-0.025,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
rear_left_wheel,0.025,-4.85722573273506E-17,0,0,0,0,1.23700210735098,0.00514902127184846,-5.68589678682655E-36,1.41172157875717E-21,0.00283221940828902,-1.51850677994624E-38,0.00283221940828902,0,0,0,0,0,0,package://robot/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/rear_left_wheel.STL,,rear_wheel-1,Origin_rear_left_wheel_joint,Axis_rear_left_wheel_joint,rear_left_wheel_joint,fixed,0.305,0,0,0,0,0,rear_axle,0,0,0,,,,,,,,,,,,
rear_right_wheel,-0.0250000000000001,3.46944695195361E-18,-1.11022302462516E-16,0,0,0,1.23700210735098,0.00514902127184846,-2.93873587705564E-36,-1.41172157875718E-21,0.00283221940828902,-3.5684524883468E-36,0.00283221940828902,0,0,0,0,0,0,package://robot/meshes/rear_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/rear_right_wheel.STL,,rear_wheel-2,Origin_rear_right_wheel_joint,Axis_rear_right_wheel_joint,rear_right_wheel_joint,fixed,-0.305,0,0,0,0,0,rear_axle,0,0,0,,,,,,,,,,,,
arm_frame,-0.2,0.42782987616925,-0.200283536076851,0,0,0,18.6975769073693,1.00946239108223,-7.2442474447099E-18,8.43574579911179E-18,1.02175252506653,0.000515141348358039,1.01025910987149,0,0,0,0,0,0,package://robot/meshes/arm_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/arm_frame.STL,,chasis2-1,Origin_arm_frame_joint,Axis_arm_frame_joint,arm_frame_joint,fixed,0.2,-0.2,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_base,-4.94053268413586E-19,0.116973617488641,2.77555756156289E-17,0,0,0,0.207617251235193,0.000965466041453994,1.1491918453231E-20,-1.70588730989799E-21,3.20823922414334E-05,-7.76921472739739E-21,0.000966258583854511,0,0,0,0,0,0,package://robot/meshes/arm_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/arm_base.STL,,arm_base-1,Origin_arm_base_joint,Axis_arm_base_joint,arm_base_joint,revolute,-0.2,0.49,-0.05,0,0,0,arm_frame,0,1,0,0,0,0,0,,,,,,,,
arm_middle,-7.88829977027639E-18,0.193357409757848,0,0,0,0,0.805337942194439,0.0072830660307654,4.45124117755568E-20,-7.43883292584569E-21,0.000328476716675587,6.28963617989045E-20,0.00728910674484271,0,0,0,0,0,0,package://robot/meshes/arm_middle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/arm_middle.STL,,arm_middle-1,Origin_arm_middle_joint,Axis_arm_middle_joint,arm_middle_joint,revolute,0,0.24,0,0,0,0,arm_base,1,0,0,0,0,0,0,,,,,,,,
arm_end,-6.93889390390723E-18,0.0671221673874416,0.0140027305626257,0,0,0,0.164981747704247,0.000290034092105565,4.36787303173571E-20,5.63262565110841E-21,0.00018924621294992,-7.80600520509321E-05,0.000312395084022229,0,0,0,0,0,0,package://robot/meshes/arm_end.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/arm_end.STL,,arm_end-1,Origin_arm_end_joint,Axis_arm_end_joint,arm_end_joint,revolute,0,0.35,0,0,0,0,arm_middle,1,0,0,0,0,0,0,,,,,,,,
left_end_eff,-3.46944695195361E-18,0.0416350027340173,0.005,0,0,0,0.0192146018366026,1.55138774229034E-05,4.89651648322603E-23,-3.67894643424117E-23,8.21879610117122E-07,2.58493941422821E-23,1.60155136690771E-05,0,0,0,0,0,0,package://robot/meshes/left_end_eff.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/left_end_eff.STL,,end_effector-1,Origin_left_end_eff_joint,Axis_left_end_eff_joint,left_end_eff_joint,revolute,0.02,0.13,0.02,0,0,0,arm_end,0,0,1,0,0,0,0,,,,,,,,
right_end_eff,-3.46944695195361E-18,0.0416350027340173,0.005,0,0,0,0.0192146018366026,1.55138774229034E-05,1.13235491055648E-22,-3.67894643424117E-23,8.21879610117122E-07,2.58493941422821E-23,1.60155136690771E-05,0,0,0,0,0,0,package://robot/meshes/right_end_eff.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/right_end_eff.STL,,end_effector-2,Origin_right_end_eff_joint,Axis_right_end_eff_joint,right_end_eff_joint,revolute,-0.02,0.13,0.02,0,0,0,arm_end,0,0,1,0,0,0,0,,,,,,,,
